sample	strainID	count_correct_thresh	f_thresh	replicate	strep_conc	transfers	n_species	community_type	plate_well	batch
8_03	HAMBI_1896	2036	0.09947234707836623	1	0	0	8	master	NA	run20250502
8_03	HAMBI_1977	1114	0.05442642173148329	1	0	0	8	master	NA	run20250502
8_03_C01	HAMBI_0403	0	0	1	0	8	8	experiment	C01	run20250502
8_03_C01	HAMBI_1287	10185	0.4317873494997456	1	0	8	8	experiment	C01	run20250502
8_03_C01	HAMBI_1896	1609	0.06821265050025437	1	0	8	8	experiment	C01	run20250502
8_03_C01	HAMBI_1977	0	0	1	0	8	8	experiment	C01	run20250502
8_03_C04	HAMBI_0403	0	0	1	16	8	8	experiment	C04	run20250502
8_03_C04	HAMBI_1287	10586	0.5	1	16	8	8	experiment	C04	run20250502
8_03_C04	HAMBI_1896	0	0	1	16	8	8	experiment	C04	run20250502
8_03_C04	HAMBI_1977	0	0	1	16	8	8	experiment	C04	run20250502
8_03_C07	HAMBI_0403	0	0	1	64	8	8	experiment	C07	run20250502
8_03_C07	HAMBI_1287	9532	0.4452125175151798	1	64	8	8	experiment	C07	run20250502
8_03_C07	HAMBI_1896	1173	0.054787482484820176	1	64	8	8	experiment	C07	run20250502
8_03_C07	HAMBI_1977	0	0	1	64	8	8	experiment	C07	run20250502
8_03_C10	HAMBI_0403	0	0	1	256	8	8	experiment	C10	run20250502
8_03_C10	HAMBI_1287	3715	0.14935273779850447	1	256	8	8	experiment	C10	run20250502
8_03_C10	HAMBI_1896	2564	0.10307952078475517	1	256	8	8	experiment	C10	run20250502
8_03_C10	HAMBI_1977	6158	0.24756774141674037	1	256	8	8	experiment	C10	run20250502
8_04	HAMBI_0403	797	0.030815032477575006	1	0	0	8	master	NA	run20250502
8_04	HAMBI_1287	8289	0.3204840705227343	1	0	0	8	master	NA	run20250502
8_04	HAMBI_1896	2649	0.10242035261367151	1	0	0	8	master	NA	run20250502
8_04	HAMBI_1977	1197	0.046280544386019175	1	0	0	8	master	NA	run20250502
8_04_D01	HAMBI_0403	0	0	1	0	8	8	experiment	D01	run20250502
8_04_D01	HAMBI_1287	8921	0.42135839788399776	1	0	8	8	experiment	D01	run20250502
8_04_D01	HAMBI_1896	1665	0.07864160211600227	1	0	8	8	experiment	D01	run20250502
8_04_D01	HAMBI_1977	0	0	1	0	8	8	experiment	D01	run20250502
8_04_D04	HAMBI_0403	0	0	1	16	8	8	experiment	D04	run20250502
8_04_D04	HAMBI_1287	8291	0.4567540766857647	1	16	8	8	experiment	D04	run20250502
8_04_D04	HAMBI_1896	785	0.043245923314235345	1	16	8	8	experiment	D04	run20250502
8_04_D04	HAMBI_1977	0	0	1	16	8	8	experiment	D04	run20250502
8_04_D07	HAMBI_0403	0	0	1	64	8	8	experiment	D07	run20250502
8_04_D07	HAMBI_1287	8913	0.4546057329388963	1	64	8	8	experiment	D07	run20250502
8_04_D07	HAMBI_1896	890	0.04539426706110374	1	64	8	8	experiment	D07	run20250502
8_04_D07	HAMBI_1977	0	0	1	64	8	8	experiment	D07	run20250502
8_04_D10	HAMBI_0403	0	0	1	256	8	8	experiment	D10	run20250502
8_04_D10	HAMBI_1287	1619	0.0787757882444531	1	256	8	8	experiment	D10	run20250502
8_04_D10	HAMBI_1896	2063	0.10037952510704554	1	256	8	8	experiment	D10	run20250502
8_04_D10	HAMBI_1977	6594	0.32084468664850135	1	256	8	8	experiment	D10	run20250502
8_05	HAMBI_0403	0	0	1	0	0	8	master	NA	run20250502
8_05	HAMBI_1287	979	0.0508412962193602	1	0	0	8	master	NA	run20250502
8_05	HAMBI_1896	7922	0.41140423764021605	1	0	0	8	master	NA	run20250502
8_05	HAMBI_1977	727	0.03775446614042376	1	0	0	8	master	NA	run20250502
8_05_E01	HAMBI_0403	0	0	1	0	8	8	experiment	E01	run20250502
8_05_E01	HAMBI_1287	8711	0.29965600275197796	1	0	8	8	experiment	E01	run20250502
8_05_E01	HAMBI_1896	5824	0.20034399724802202	1	0	8	8	experiment	E01	run20250502
8_05_E01	HAMBI_1977	0	0	1	0	8	8	experiment	E01	run20250502
8_05_E04	HAMBI_0403	0	0	1	16	8	8	experiment	E04	run20250502
8_05_E04	HAMBI_1287	10173	0.4595681243223708	1	16	8	8	experiment	E04	run20250502
8_05_E04	HAMBI_1896	895	0.0404318756776292	1	16	8	8	experiment	E04	run20250502
8_05_E04	HAMBI_1977	0	0	1	16	8	8	experiment	E04	run20250502
8_05_E07	HAMBI_0403	0	0	1	64	8	8	experiment	E07	run20250502
8_05_E07	HAMBI_1287	10691	0.42637792135279573	1	64	8	8	experiment	E07	run20250502
8_05_E07	HAMBI_1896	1846	0.07362207864720427	1	64	8	8	experiment	E07	run20250502
8_05_E07	HAMBI_1977	0	0	1	64	8	8	experiment	E07	run20250502
8_05_E10	HAMBI_0403	0	0	1	256	8	8	experiment	E10	run20250502
8_05_E10	HAMBI_1287	3584	0.1402849538124315	1	256	8	8	experiment	E10	run20250502
8_05_E10	HAMBI_1896	3231	0.12646782527007985	1	256	8	8	experiment	E10	run20250502
8_05_E10	HAMBI_1977	5959	0.23324722091748865	1	256	8	8	experiment	E10	run20250502
8_06	HAMBI_0403	0	0	1	0	0	8	master	NA	run20250502
8_06	HAMBI_1287	0	0	1	0	0	8	master	NA	run20250502
8_06	HAMBI_1896	3125	0.45461157986616235	1	0	0	8	master	NA	run20250502
8_06	HAMBI_1977	312	0.04538842013383765	1	0	0	8	master	NA	run20250502
8_06_F01	HAMBI_0403	0	0	1	0	8	8	experiment	F01	run20250502
8_06_F01	HAMBI_1287	9232	0.45912074796101054	1	0	8	8	experiment	F01	run20250502
8_06_F01	HAMBI_1896	822	0.040879252038989455	1	0	8	8	experiment	F01	run20250502
8_06_F01	HAMBI_1977	0	0	1	0	8	8	experiment	F01	run20250502
8_06_F04	HAMBI_0403	0	0	1	16	8	8	experiment	F04	run20250502
8_06_F04	HAMBI_1287	9389	0.5	1	16	8	8	experiment	F04	run20250502
8_06_F04	HAMBI_1896	0	0	1	16	8	8	experiment	F04	run20250502
8_06_F04	HAMBI_1977	0	0	1	16	8	8	experiment	F04	run20250502
8_06_F07	HAMBI_0403	0	0	1	64	8	8	experiment	F07	run20250502
8_06_F07	HAMBI_1287	5599	0.2927428631182683	1	64	8	8	experiment	F07	run20250502
8_06_F07	HAMBI_1896	0	0	1	64	8	8	experiment	F07	run20250502
8_06_F07	HAMBI_1977	3964	0.20725713688173167	1	64	8	8	experiment	F07	run20250502
8_06_F10	HAMBI_0403	0	0	1	256	8	8	experiment	F10	run20250502
8_06_F10	HAMBI_1287	3717	0.18627844041294978	1	256	8	8	experiment	F10	run20250502
8_06_F10	HAMBI_1896	1439	0.07211586649293375	1	256	8	8	experiment	F10	run20250502
8_06_F10	HAMBI_1977	4821	0.24160569309411647	1	256	8	8	experiment	F10	run20250502
8_07	HAMBI_0403	970	0.030756547656794978	1	0	0	8	master	NA	run20250502
8_07	HAMBI_1287	2565	0.08133045849451455	1	0	0	8	master	NA	run20250502
8_07	HAMBI_1896	2919	0.09255501300019024	1	0	0	8	master	NA	run20250502
8_07	HAMBI_1977	9315	0.29535798084850023	1	0	0	8	master	NA	run20250502
8_07_G01	HAMBI_0403	0	0	1	0	8	8	experiment	G01	run20250502
8_07_G01	HAMBI_1287	5969	0.24023987764630123	1	0	8	8	experiment	G01	run20250502
8_07_G01	HAMBI_1896	2548	0.1025517185864928	1	0	8	8	experiment	G01	run20250502
8_07_G01	HAMBI_1977	3906	0.157208403767206	1	0	8	8	experiment	G01	run20250502
8_07_G04	HAMBI_0403	0	0	1	16	8	8	experiment	G04	run20250502
8_07_G04	HAMBI_1287	12253	0.4542522429005709	1	16	8	8	experiment	G04	run20250502
8_07_G04	HAMBI_1896	1234	0.04574775709942908	1	16	8	8	experiment	G04	run20250502
8_07_G04	HAMBI_1977	0	0	1	16	8	8	experiment	G04	run20250502
8_07_G07	HAMBI_0403	0	0	1	64	8	8	experiment	G07	run20250502
8_07_G07	HAMBI_1287	10608	0.425	1	64	8	8	experiment	G07	run20250502
8_07_G07	HAMBI_1896	1872	0.075	1	64	8	8	experiment	G07	run20250502
8_07_G07	HAMBI_1977	0	0	1	64	8	8	experiment	G07	run20250502
8_07_G10	HAMBI_0403	0	0	1	256	8	8	experiment	G10	run20250502
8_07_G10	HAMBI_1287	4804	0.1888958792072979	1	256	8	8	experiment	G10	run20250502
8_07_G10	HAMBI_1896	2129	0.0837134318968229	1	256	8	8	experiment	G10	run20250502
8_07_G10	HAMBI_1977	5783	0.2273906888958792	1	256	8	8	experiment	G10	run20250502
8_08	HAMBI_0403	806	0.038694191070571295	1	0	0	8	master	NA	run20250502
8_08	HAMBI_1287	1391	0.06677868458953433	1	0	0	8	master	NA	run20250502
8_08	HAMBI_1896	2582	0.12395583293326932	1	0	0	8	master	NA	run20250502
8_08	HAMBI_1977	5636	0.27057129140662506	1	0	0	8	master	NA	run20250502
8_08_H01	HAMBI_0403	0	0	1	0	8	8	experiment	H01	run20250502
8_08_H01	HAMBI_1287	8044	0.3451471724019566	1	0	8	8	experiment	H01	run20250502
8_08_H01	HAMBI_1896	3609	0.15485282759804342	1	0	8	8	experiment	H01	run20250502
8_08_H01	HAMBI_1977	0	0	1	0	8	8	experiment	H01	run20250502
8_08_H04	HAMBI_0403	0	0	1	16	8	8	experiment	H04	run20250502
8_08_H04	HAMBI_1287	10057	0.4568456436812937	1	16	8	8	experiment	H04	run20250502
8_08_H04	HAMBI_1896	950	0.043154356318706275	1	16	8	8	experiment	H04	run20250502
8_08_H04	HAMBI_1977	0	0	1	16	8	8	experiment	H04	run20250502
8_08_H07	HAMBI_0403	0	0	1	64	8	8	experiment	H07	run20250502
8_08_H07	HAMBI_1287	8503	0.29641637035487695	1	64	8	8	experiment	H07	run20250502
8_08_H07	HAMBI_1896	0	0	1	64	8	8	experiment	H07	run20250502
8_08_H07	HAMBI_1977	5840	0.20358362964512305	1	64	8	8	experiment	H07	run20250502
8_08_H10	HAMBI_0403	0	0	1	256	8	8	experiment	H10	run20250502
8_08_H10	HAMBI_1287	3431	0.14365265449673423	1	256	8	8	experiment	H10	run20250502
8_08_H10	HAMBI_1896	2723	0.11400937866354044	1	256	8	8	experiment	H10	run20250502
8_08_H10	HAMBI_1977	5788	0.24233796683972533	1	256	8	8	experiment	H10	run20250502
8_09	HAMBI_0403	1906	0.11169714017815284	1	0	0	8	master	NA	run20250502
8_09	HAMBI_1287	2050	0.12013595874355368	1	0	0	8	master	NA	run20250502
8_09	HAMBI_1896	3021	0.1770393811533052	1	0	0	8	master	NA	run20250502
8_09	HAMBI_1977	1555	0.09112751992498828	1	0	0	8	master	NA	run20250502
8_09_A02	HAMBI_0403	0	0	1	0	8	8	experiment	A02	run20250502
8_09_A02	HAMBI_1287	6980	0.4389937106918239	1	0	8	8	experiment	A02	run20250502
8_09_A02	HAMBI_1896	970	0.0610062893081761	1	0	8	8	experiment	A02	run20250502
8_09_A02	HAMBI_1977	0	0	1	0	8	8	experiment	A02	run20250502
8_09_A05	HAMBI_0403	0	0	1	16	8	8	experiment	A05	run20250502
8_09_A05	HAMBI_1287	10062	0.4534474988733664	1	16	8	8	experiment	A05	run20250502
8_09_A05	HAMBI_1896	1033	0.046552501126633616	1	16	8	8	experiment	A05	run20250502
8_09_A05	HAMBI_1977	0	0	1	16	8	8	experiment	A05	run20250502
8_09_A08	HAMBI_0403	0	0	1	64	8	8	experiment	A08	run20250502
8_09_A08	HAMBI_1287	8308	0.4444206697336044	1	64	8	8	experiment	A08	run20250502
8_09_A08	HAMBI_1896	1039	0.05557933026639564	1	64	8	8	experiment	A08	run20250502
8_09_A08	HAMBI_1977	0	0	1	64	8	8	experiment	A08	run20250502
8_09_A11	HAMBI_0403	0	0	1	256	8	8	experiment	A11	run20250502
8_09_A11	HAMBI_1287	2378	0.11230754699159347	1	256	8	8	experiment	A11	run20250502
8_09_A11	HAMBI_1896	2396	0.11315764616983093	1	256	8	8	experiment	A11	run20250502
8_09_A11	HAMBI_1977	5813	0.2745348068385756	1	256	8	8	experiment	A11	run20250502
8_10	HAMBI_0403	2410	0.1108147875666728	1	0	0	8	master	NA	run20250502
8_10	HAMBI_1287	2320	0.1066764759977929	1	0	0	8	master	NA	run20250502
8_10	HAMBI_1896	4066	0.1869597204340629	1	0	0	8	master	NA	run20250502
8_10	HAMBI_1977	2078	0.09554901600147139	1	0	0	8	master	NA	run20250502
8_10_B02	HAMBI_0403	0	0	1	0	8	8	experiment	B02	run20250502
8_10_B02	HAMBI_1287	8079	0.4378387166702796	1	0	8	8	experiment	B02	run20250502
8_10_B02	HAMBI_1896	1147	0.06216128332972035	1	0	8	8	experiment	B02	run20250502
8_10_B02	HAMBI_1977	0	0	1	0	8	8	experiment	B02	run20250502
8_10_B05	HAMBI_0403	0	0	1	16	8	8	experiment	B05	run20250502
8_10_B05	HAMBI_1287	9513	0.4592989571263036	1	16	8	8	experiment	B05	run20250502
8_10_B05	HAMBI_1896	843	0.04070104287369641	1	16	8	8	experiment	B05	run20250502
8_10_B05	HAMBI_1977	0	0	1	16	8	8	experiment	B05	run20250502
8_10_B08	HAMBI_0403	0	0	1	64	8	8	experiment	B08	run20250502
8_10_B08	HAMBI_1287	9247	0.4397051830718022	1	64	8	8	experiment	B08	run20250502
8_10_B08	HAMBI_1896	1268	0.06029481692819781	1	64	8	8	experiment	B08	run20250502
8_10_B08	HAMBI_1977	0	0	1	64	8	8	experiment	B08	run20250502
8_10_B11	HAMBI_0403	0	0	1	256	8	8	experiment	B11	run20250502
8_10_B11	HAMBI_1287	2244	0.11852947390661314	1	256	8	8	experiment	B11	run20250502
8_10_B11	HAMBI_1896	2465	0.13020283118529474	1	256	8	8	experiment	B11	run20250502
8_10_B11	HAMBI_1977	4757	0.25126769490809214	1	256	8	8	experiment	B11	run20250502
8_11	HAMBI_0403	1697	0.057783982566058295	1	0	0	8	master	NA	run20250502
8_11	HAMBI_1287	5964	0.20307818033233452	1	0	0	8	master	NA	run20250502
8_11	HAMBI_1896	4466	0.15207028057749933	1	0	0	8	master	NA	run20250502
8_11	HAMBI_1977	2557	0.08706755652410787	1	0	0	8	master	NA	run20250502
8_11_C02	HAMBI_0403	0	0	1	0	8	8	experiment	C02	run20250502
8_11_C02	HAMBI_1287	8588	0.43147106109324757	1	0	8	8	experiment	C02	run20250502
8_11_C02	HAMBI_1896	1364	0.0685289389067524	1	0	8	8	experiment	C02	run20250502
8_11_C02	HAMBI_1977	0	0	1	0	8	8	experiment	C02	run20250502
8_11_C05	HAMBI_0403	0	0	1	16	8	8	experiment	C05	run20250502
8_11_C05	HAMBI_1287	10157	0.45258889582033685	1	16	8	8	experiment	C05	run20250502
8_11_C05	HAMBI_1896	1064	0.047411104179663134	1	16	8	8	experiment	C05	run20250502
8_11_C05	HAMBI_1977	0	0	1	16	8	8	experiment	C05	run20250502
8_11_C08	HAMBI_0403	0	0	1	64	8	8	experiment	C08	run20250502
8_11_C08	HAMBI_1287	7582	0.4410703897614892	1	64	8	8	experiment	C08	run20250502
8_11_C08	HAMBI_1896	1013	0.05892961023851076	1	64	8	8	experiment	C08	run20250502
8_11_C08	HAMBI_1977	0	0	1	64	8	8	experiment	C08	run20250502
8_11_C11	HAMBI_0403	0	0	1	256	8	8	experiment	C11	run20250502
8_11_C11	HAMBI_1287	2691	0.13564875491480996	1	256	8	8	experiment	C11	run20250502
8_11_C11	HAMBI_1896	2021	0.10187518903115234	1	256	8	8	experiment	C11	run20250502
8_11_C11	HAMBI_1977	5207	0.26247605605403773	1	256	8	8	experiment	C11	run20250502
8_12	HAMBI_0403	832	0.042966329270811815	1	0	0	8	master	NA	run20250502
8_12	HAMBI_1287	4068	0.21008056186738278	1	0	0	8	master	NA	run20250502
8_12	HAMBI_1896	3100	0.16009089031191903	1	0	0	8	master	NA	run20250502
8_12	HAMBI_1977	1682	0.08686221854988639	1	0	0	8	master	NA	run20250502
8_12_D02	HAMBI_0403	0	0	1	0	8	8	experiment	D02	run20250502
8_12_D02	HAMBI_1287	7784	0.413338997451147	1	0	8	8	experiment	D02	run20250502
8_12_D02	HAMBI_1896	1632	0.08666100254885302	1	0	8	8	experiment	D02	run20250502
8_12_D02	HAMBI_1977	0	0	1	0	8	8	experiment	D02	run20250502
8_12_D05	HAMBI_0403	0	0	1	16	8	8	experiment	D05	run20250502
8_12_D05	HAMBI_1287	8787	0.4625710675931775	1	16	8	8	experiment	D05	run20250502
8_12_D05	HAMBI_1896	711	0.03742893240682249	1	16	8	8	experiment	D05	run20250502
8_12_D05	HAMBI_1977	0	0	1	16	8	8	experiment	D05	run20250502
8_12_D08	HAMBI_0403	0	0	1	64	8	8	experiment	D08	run20250502
8_12_D08	HAMBI_1287	7342	0.4383283582089552	1	64	8	8	experiment	D08	run20250502
8_12_D08	HAMBI_1896	1033	0.06167164179104478	1	64	8	8	experiment	D08	run20250502
8_12_D08	HAMBI_1977	0	0	1	64	8	8	experiment	D08	run20250502
8_12_D11	HAMBI_0403	0	0	1	256	8	8	experiment	D11	run20250502
8_12_D11	HAMBI_1287	2590	0.14268400176289114	1	256	8	8	experiment	D11	run20250502
8_12_D11	HAMBI_1896	1810	0.0997135301895108	1	256	8	8	experiment	D11	run20250502
8_12_D11	HAMBI_1977	4676	0.25760246804759807	1	256	8	8	experiment	D11	run20250502
8_13	HAMBI_0403	657	0.035976344321542	1	0	0	8	master	NA	run20250502
8_13	HAMBI_1287	1907	0.10442448800788523	1	0	0	8	master	NA	run20250502
8_13	HAMBI_1896	5087	0.2785565655459424	1	0	0	8	master	NA	run20250502
8_13	HAMBI_1977	1480	0.08104260212463038	1	0	0	8	master	NA	run20250502
8_13_E02	HAMBI_0403	0	0	1	0	8	8	experiment	E02	run20250502
8_13_E02	HAMBI_1287	9174	0.3582754042021401	1	0	8	8	experiment	E02	run20250502
8_13_E02	HAMBI_1896	3629	0.14172459579785987	1	0	8	8	experiment	E02	run20250502
8_13_E02	HAMBI_1977	0	0	1	0	8	8	experiment	E02	run20250502
8_13_E05	HAMBI_0403	0	0	1	16	8	8	experiment	E05	run20250502
8_13_E05	HAMBI_1287	11683	0.44591603053435114	1	16	8	8	experiment	E05	run20250502
8_13_E05	HAMBI_1896	1417	0.054083969465648855	1	16	8	8	experiment	E05	run20250502
8_13_E05	HAMBI_1977	0	0	1	16	8	8	experiment	E05	run20250502
8_13_E08	HAMBI_0403	0	0	1	64	8	8	experiment	E08	run20250502
8_13_E08	HAMBI_1287	8215	0.44067160175946785	1	64	8	8	experiment	E08	run20250502
8_13_E08	HAMBI_1896	1106	0.05932839824053213	1	64	8	8	experiment	E08	run20250502
8_13_E08	HAMBI_1977	0	0	1	64	8	8	experiment	E08	run20250502
8_13_E11	HAMBI_0403	0	0	1	256	8	8	experiment	E11	run20250502
8_13_E11	HAMBI_1287	3486	0.1471755467364688	1	256	8	8	experiment	E11	run20250502
8_13_E11	HAMBI_1896	2641	0.11150046440935574	1	256	8	8	experiment	E11	run20250502
8_13_E11	HAMBI_1977	5716	0.24132398885417547	1	256	8	8	experiment	E11	run20250502
8_14	HAMBI_0403	461	0.055038204393505256	1	0	0	8	master	NA	run20250502
8_14	HAMBI_1287	896	0.1069723018147087	1	0	0	8	master	NA	run20250502
8_14	HAMBI_1896	2078	0.24808978032473736	1	0	0	8	master	NA	run20250502
8_14	HAMBI_1977	753	0.08989971346704871	1	0	0	8	master	NA	run20250502
8_14_F02	HAMBI_0403	0	0	1	0	8	8	experiment	F02	run20250502
8_14_F02	HAMBI_1287	8809	0.4292884990253411	1	0	8	8	experiment	F02	run20250502
8_14_F02	HAMBI_1896	1451	0.07071150097465886	1	0	8	8	experiment	F02	run20250502
8_14_F02	HAMBI_1977	0	0	1	0	8	8	experiment	F02	run20250502
8_14_F05	HAMBI_0403	0	0	1	16	8	8	experiment	F05	run20250502
8_14_F05	HAMBI_1287	11393	0.46047207178077765	1	16	8	8	experiment	F05	run20250502
8_14_F05	HAMBI_1896	978	0.03952792821922237	1	16	8	8	experiment	F05	run20250502
8_14_F05	HAMBI_1977	0	0	1	16	8	8	experiment	F05	run20250502
8_14_F08	HAMBI_0403	0	0	1	64	8	8	experiment	F08	run20250502
8_14_F08	HAMBI_1287	8201	0.45239408649602825	1	64	8	8	experiment	F08	run20250502
8_14_F08	HAMBI_1896	863	0.04760591350397176	1	64	8	8	experiment	F08	run20250502
8_14_F08	HAMBI_1977	0	0	1	64	8	8	experiment	F08	run20250502
8_14_F11	HAMBI_0403	0	0	1	256	8	8	experiment	F11	run20250502
8_14_F11	HAMBI_1287	2490	0.16383734701934466	1	256	8	8	experiment	F11	run20250502
8_14_F11	HAMBI_1896	996	0.06553493880773786	1	256	8	8	experiment	F11	run20250502
8_14_F11	HAMBI_1977	4113	0.2706277141729175	1	256	8	8	experiment	F11	run20250502
8_15	HAMBI_0403	553	0.03553071189925469	1	0	0	8	master	NA	run20250502
8_15	HAMBI_1287	1761	0.11314572089437162	1	0	0	8	master	NA	run20250502
8_15	HAMBI_1896	2608	0.16756617836031867	1	0	0	8	master	NA	run20250502
8_15	HAMBI_1977	2860	0.183757388846055	1	0	0	8	master	NA	run20250502
8_15_G02	HAMBI_0403	0	0	1	0	8	8	experiment	G02	run20250502
8_15_G02	HAMBI_1287	7208	0.34919096986726095	1	0	8	8	experiment	G02	run20250502
8_15_G02	HAMBI_1896	3113	0.15080903013273908	1	0	8	8	experiment	G02	run20250502
8_15_G02	HAMBI_1977	0	0	1	0	8	8	experiment	G02	run20250502
8_15_G05	HAMBI_0403	0	0	1	16	8	8	experiment	G05	run20250502
8_15_G05	HAMBI_1287	10687	0.4355995760984756	1	16	8	8	experiment	G05	run20250502
8_15_G05	HAMBI_1896	1580	0.06440042390152441	1	16	8	8	experiment	G05	run20250502
8_15_G05	HAMBI_1977	0	0	1	16	8	8	experiment	G05	run20250502
8_15_G08	HAMBI_0403	0	0	1	64	8	8	experiment	G08	run20250502
8_15_G08	HAMBI_1287	12351	0.4535472972972973	1	64	8	8	experiment	G08	run20250502
8_15_G08	HAMBI_1896	1265	0.0464527027027027	1	64	8	8	experiment	G08	run20250502
8_15_G08	HAMBI_1977	0	0	1	64	8	8	experiment	G08	run20250502
8_15_G11	HAMBI_0403	0	0	1	256	8	8	experiment	G11	run20250502
8_15_G11	HAMBI_1287	3260	0.177986459925748	1	256	8	8	experiment	G11	run20250502
8_15_G11	HAMBI_1896	1543	0.08424328455994759	1	256	8	8	experiment	G11	run20250502
8_15_G11	HAMBI_1977	4355	0.23777025551430445	1	256	8	8	experiment	G11	run20250502
8_16	HAMBI_0403	844	0.038744032317297096	1	0	0	8	master	NA	run20250502
8_16	HAMBI_1287	2082	0.09557473374954095	1	0	0	8	master	NA	run20250502
8_16	HAMBI_1896	3917	0.1798108703635696	1	0	0	8	master	NA	run20250502
8_16	HAMBI_1977	4049	0.18587036356959236	1	0	0	8	master	NA	run20250502
8_16_H02	HAMBI_0403	0	0	1	0	8	8	experiment	H02	run20250502
8_16_H02	HAMBI_1287	9666	0.4070237493683679	1	0	8	8	experiment	H02	run20250502
8_16_H02	HAMBI_1896	2208	0.09297625063163213	1	0	8	8	experiment	H02	run20250502
8_16_H02	HAMBI_1977	0	0	1	0	8	8	experiment	H02	run20250502
8_16_H05	HAMBI_0403	0	0	1	16	8	8	experiment	H05	run20250502
8_16_H05	HAMBI_1287	13031	0.4526538835625955	1	16	8	8	experiment	H05	run20250502
8_16_H05	HAMBI_1896	1363	0.047346116437404474	1	16	8	8	experiment	H05	run20250502
8_16_H05	HAMBI_1977	0	0	1	16	8	8	experiment	H05	run20250502
8_16_H08	HAMBI_0403	0	0	1	64	8	8	experiment	H08	run20250502
8_16_H08	HAMBI_1287	10173	0.4317178747241555	1	64	8	8	experiment	H08	run20250502
8_16_H08	HAMBI_1896	1609	0.06828212527584451	1	64	8	8	experiment	H08	run20250502
8_16_H08	HAMBI_1977	0	0	1	64	8	8	experiment	H08	run20250502
