sample	strainID	evo_hist	count_correct	count_correct_thresh	f	target_f	replicate	strep_conc	transfers	n_species	community_type	plate_well
P02_2_256	HAMBI_0403	anc	2	0	0	0.9	2	256	8	2	experiment	01B
P02_2_64	HAMBI_1977	evo	12743	12743	1	0.1	2	64	8	2	experiment	01B
P02_2_64	HAMBI_0403	anc	9	0	0	0.9	2	64	8	2	experiment	01B
P03_1_0	HAMBI_0403	anc	4940	4940	0.40264080202135466	0.9	1	0	8	2	experiment	01E
P03_1_0	HAMBI_1896	anc	7329	7329	0.5973591979786453	0.1	1	0	8	2	experiment	01E
P03_1_16	HAMBI_0403	anc	3855	3855	0.3505182760501909	0.9	1	16	8	2	experiment	01E
P03_1_16	HAMBI_1896	anc	7143	7143	0.6494817239498091	0.1	1	16	8	2	experiment	01E
P03_1_256	HAMBI_1896	anc	11989	11989	1	0.1	1	256	8	2	experiment	01E
P03_1_256	HAMBI_0403	anc	11	0	0	0.9	1	256	8	2	experiment	01E
P03_1_64	HAMBI_0403	anc	4979	4979	0.35279529511797636	0.9	1	64	8	2	experiment	01E
P03_1_64	HAMBI_1896	anc	9134	9134	0.6472047048820236	0.1	1	64	8	2	experiment	01E
P03_2_0	HAMBI_0403	anc	3878	3878	0.4145819970066282	0.9	2	0	8	2	experiment	02E
P03_2_0	HAMBI_1896	anc	5476	5476	0.5854180029933718	0.1	2	0	8	2	experiment	02E
P03_2_16	HAMBI_0403	anc	3342	3342	0.3563279667341934	0.9	2	16	8	2	experiment	02E
P03_2_16	HAMBI_1896	anc	6037	6037	0.6436720332658066	0.1	2	16	8	2	experiment	02E
P03_2_256	HAMBI_1896	anc	10050	10050	1	0.1	2	256	8	2	experiment	02E
P03_2_256	HAMBI_0403	anc	12	0	0	0.9	2	256	8	2	experiment	02E
P03_2_64	HAMBI_1896	anc	8230	8230	0.9463033229849374	0.1	2	64	8	2	experiment	02E
P03_2_64	HAMBI_0403	anc	467	467	0.053696677015062665	0.9	2	64	8	2	experiment	02E
P03_s_0	HAMBI_0403	anc	6595	6595	0.8795678847692718	0.9	1	NA	0	2	masterplate	03A
P03_s_0	HAMBI_1896	anc	903	903	0.12043211523072819	0.1	1	NA	0	2	masterplate	03A
P04_1_0	HAMBI_0403	anc	3823	3823	0.47261713438002223	0.9	1	0	8	2	experiment	02F
P04_1_0	HAMBI_1896	evo	4266	4266	0.5273828656199777	0.1	1	0	8	2	experiment	02F
P04_1_16	HAMBI_0403	anc	3828	3828	0.47131248460970204	0.9	1	16	8	2	experiment	02F
P04_1_16	HAMBI_1896	evo	4294	4294	0.5286875153902979	0.1	1	16	8	2	experiment	02F
P04_1_256	HAMBI_1896	evo	9985	9985	1	0.1	1	256	8	2	experiment	02F
P04_1_256	HAMBI_0403	anc	6	0	0	0.9	1	256	8	2	experiment	02F
P04_1_64	HAMBI_1896	evo	7134	7134	0.8541666666666666	0.1	1	64	8	2	experiment	02F
P04_1_64	HAMBI_0403	anc	1218	1218	0.14583333333333334	0.9	1	64	8	2	experiment	02F
P04_2_0	HAMBI_0403	anc	4773	4773	0.46638655462184875	0.9	2	0	8	2	experiment	01F
P04_2_0	HAMBI_1896	evo	5461	5461	0.5336134453781513	0.1	2	0	8	2	experiment	01F
P04_2_16	HAMBI_0403	anc	4057	4057	0.5085871881659771	0.9	2	16	8	2	experiment	01F
P04_2_16	HAMBI_1896	evo	3920	3920	0.4914128118340228	0.1	2	16	8	2	experiment	01F
P04_2_256	HAMBI_1896	evo	8884	8884	1	0.1	2	256	8	2	experiment	01F
P04_2_256	HAMBI_0403	anc	6	0	0	0.9	2	256	8	2	experiment	01F
P04_2_64	HAMBI_1896	evo	9782	9782	1	0.1	2	64	8	2	experiment	01F
P04_2_64	HAMBI_0403	anc	25	0	0	0.9	2	64	8	2	experiment	01F
P04_s_0	HAMBI_0403	anc	4879	4879	0.8955580029368576	0.9	1	NA	0	2	masterplate	03E
P04_s_0	HAMBI_1896	evo	569	569	0.10444199706314244	0.1	1	NA	0	2	masterplate	03E
P05_1_0	HAMBI_1287	anc	13292	13292	1	0.1	1	0	8	2	experiment	09E
P05_1_0	HAMBI_0403	anc	12	0	0	0.9	1	0	8	2	experiment	09E
P05_1_16	HAMBI_1287	anc	9879	9879	1	0.1	1	16	8	2	experiment	09E
P05_1_16	HAMBI_0403	anc	19	0	0	0.9	1	16	8	2	experiment	09E
P05_1_256	HAMBI_1287	anc	12041	12041	1	0.1	1	256	8	2	experiment	09E
P05_1_256	HAMBI_0403	anc	23	0	0	0.9	1	256	8	2	experiment	09E
P05_1_64	HAMBI_1287	anc	10548	10548	1	0.1	1	64	8	2	experiment	09E
P05_1_64	HAMBI_0403	anc	10	0	0	0.9	1	64	8	2	experiment	09E
P05_2_0	HAMBI_1287	anc	11465	11465	1	0.1	2	0	8	2	experiment	10E
P05_2_0	HAMBI_0403	anc	12	0	0	0.9	2	0	8	2	experiment	10E
P05_2_16	HAMBI_1287	anc	8778	8778	1	0.1	2	16	8	2	experiment	10E
P05_2_16	HAMBI_0403	anc	31	0	0	0.9	2	16	8	2	experiment	10E
P05_2_256	HAMBI_1287	anc	11804	11804	1	0.1	2	256	8	2	experiment	10E
P05_2_256	HAMBI_0403	anc	26	0	0	0.9	2	256	8	2	experiment	10E
P05_2_64	HAMBI_1287	anc	8322	8322	1	0.1	2	64	8	2	experiment	10E
P05_2_64	HAMBI_0403	anc	14	0	0	0.9	2	64	8	2	experiment	10E
P05_s_0	HAMBI_0403	anc	8635	8635	0.8574123721576805	0.9	1	NA	0	2	masterplate	01G
P05_s_0	HAMBI_1287	anc	1436	1436	0.14258762784231954	0.1	1	NA	0	2	masterplate	01G
P06_1_16	HAMBI_0403	anc	6642	6642	0.722820763956905	0.9	1	16	8	2	experiment	10F
P06_1_16	HAMBI_1287	evo	2547	2547	0.277179236043095	0.1	1	16	8	2	experiment	10F
P06_1_256	HAMBI_1287	evo	2655	2655	1	0.1	1	256	8	2	experiment	10F
P06_1_256	HAMBI_0403	anc	30	0	0	0.9	1	256	8	2	experiment	10F
P06_1_64	HAMBI_1287	evo	6924	6924	1	0.1	1	64	8	2	experiment	10F
P06_1_64	HAMBI_0403	anc	13	0	0	0.9	1	64	8	2	experiment	10F
P06_2_16	HAMBI_0403	anc	8989	8989	0.8560137129797162	0.9	2	16	8	2	experiment	09F
P06_2_16	HAMBI_1287	evo	1512	1512	0.1439862870202838	0.1	2	16	8	2	experiment	09F
P06_2_256	HAMBI_1287	evo	5981	5981	1	0.1	2	256	8	2	experiment	09F
P06_2_256	HAMBI_0403	anc	28	0	0	0.9	2	256	8	2	experiment	09F
P06_2_64	HAMBI_1287	evo	2752	2752	1	0.1	2	64	8	2	experiment	09F
P06_2_64	HAMBI_0403	anc	7	0	0	0.9	2	64	8	2	experiment	09F
P06_s_0	HAMBI_0403	anc	6216	6216	0.8626144879267277	0.9	1	NA	0	2	masterplate	02G
P06_s_0	HAMBI_1287	evo	990	990	0.13738551207327226	0.1	1	NA	0	2	masterplate	02G
P07_1_16	HAMBI_0403	evo	5107	5107	1	0.9	1	16	8	2	experiment	03A
P07_1_16	HAMBI_1977	anc	117	0	0	0.1	1	16	8	2	experiment	03A
P07_1_256	HAMBI_0403	evo	11632	11632	1	0.9	1	256	8	2	experiment	03A
P07_1_256	HAMBI_1977	anc	50	0	0	0.1	1	256	8	2	experiment	03A
P07_2_256	HAMBI_0403	evo	10670	10670	1	0.9	2	256	8	2	experiment	04A
P07_2_256	HAMBI_1977	anc	57	0	0	0.1	2	256	8	2	experiment	04A
P07_2_64	HAMBI_0403	evo	8498	8498	1	0.9	2	64	8	2	experiment	04A
P07_2_64	HAMBI_1977	anc	52	0	0	0.1	2	64	8	2	experiment	04A
P07_s_0	HAMBI_0403	evo	7943	7943	0.8868914694059848	0.9	1	NA	0	2	masterplate	01B
P07_s_0	HAMBI_1977	anc	1013	1013	0.11310853059401518	0.1	1	NA	0	2	masterplate	01B
P08_1_0	HAMBI_1977	evo	10219	10219	1	0.1	1	0	8	2	experiment	04B
P08_1_0	HAMBI_0403	evo	127	0	0	0.9	1	0	8	2	experiment	04B
P08_1_16	HAMBI_1977	evo	5968	5968	1	0.1	1	16	8	2	experiment	04B
P08_1_16	HAMBI_0403	evo	88	0	0	0.9	1	16	8	2	experiment	04B
P08_1_256	HAMBI_1977	evo	12077	12077	0.8955212813287854	0.1	1	256	8	2	experiment	04B
P08_1_256	HAMBI_0403	evo	1409	1409	0.1044787186712146	0.9	1	256	8	2	experiment	04B
P08_1_64	HAMBI_1977	evo	8283	8283	1	0.1	1	64	8	2	experiment	04B
P08_1_64	HAMBI_0403	evo	149	0	0	0.9	1	64	8	2	experiment	04B
P08_2_0	HAMBI_1977	evo	9174	9174	1	0.1	2	0	8	2	experiment	03B
P08_2_0	HAMBI_0403	evo	89	0	0	0.9	2	0	8	2	experiment	03B
P08_2_16	HAMBI_1977	evo	6813	6813	1	0.1	2	16	8	2	experiment	03B
P08_2_16	HAMBI_0403	evo	81	0	0	0.9	2	16	8	2	experiment	03B
P08_2_256	HAMBI_1977	evo	12075	12075	1	0.1	2	256	8	2	experiment	03B
P08_2_256	HAMBI_0403	evo	180	0	0	0.9	2	256	8	2	experiment	03B
P08_2_64	HAMBI_1977	evo	10066	10066	1	0.1	2	64	8	2	experiment	03B
P08_2_64	HAMBI_0403	evo	152	0	0	0.9	2	64	8	2	experiment	03B
P08_s_0	HAMBI_0403	evo	6643	6643	0.8978240302743614	0.9	1	NA	0	2	masterplate	02B
P08_s_0	HAMBI_1977	evo	756	756	0.1021759697256386	0.1	1	NA	0	2	masterplate	02B
P09_1_0	HAMBI_0403	evo	4103	4103	0.40324324324324323	0.9	1	0	8	2	experiment	03E
P09_1_0	HAMBI_1896	anc	6072	6072	0.5967567567567568	0.1	1	0	8	2	experiment	03E
P09_1_16	HAMBI_0403	evo	3335	3335	0.3975444033853856	0.9	1	16	8	2	experiment	03E
P09_1_16	HAMBI_1896	anc	5054	5054	0.6024555966146143	0.1	1	16	8	2	experiment	03E
P09_1_256	HAMBI_0403	evo	5377	5377	0.425462889697737	0.9	1	256	8	2	experiment	03E
P09_1_256	HAMBI_1896	anc	7261	7261	0.5745371103022631	0.1	1	256	8	2	experiment	03E
P09_1_64	HAMBI_0403	evo	4544	4544	0.45254456727417586	0.9	1	64	8	2	experiment	03E
P09_1_64	HAMBI_1896	anc	5497	5497	0.5474554327258241	0.1	1	64	8	2	experiment	03E
P09_2_0	HAMBI_0403	evo	3574	3574	0.40457323975549014	0.9	2	0	8	2	experiment	04E
P09_2_0	HAMBI_1896	anc	5260	5260	0.5954267602445098	0.1	2	0	8	2	experiment	04E
P09_2_16	HAMBI_0403	evo	3178	3178	0.5425059747354046	0.9	2	16	8	2	experiment	04E
P09_2_16	HAMBI_1896	anc	2680	2680	0.4574940252645954	0.1	2	16	8	2	experiment	04E
P09_2_256	HAMBI_0403	evo	4821	4821	0.41925384816070965	0.9	2	256	8	2	experiment	04E
P09_2_256	HAMBI_1896	anc	6678	6678	0.5807461518392903	0.1	2	256	8	2	experiment	04E
P09_2_64	HAMBI_0403	evo	4150	4150	0.3884312991388993	0.9	2	64	8	2	experiment	04E
P09_2_64	HAMBI_1896	anc	6534	6534	0.6115687008611007	0.1	2	64	8	2	experiment	04E
P09_s_0	HAMBI_0403	evo	6312	6312	0.8800892359174568	0.9	1	NA	0	2	masterplate	03B
P09_s_0	HAMBI_1896	anc	860	860	0.11991076408254323	0.1	1	NA	0	2	masterplate	03B
P10_1_0	HAMBI_0403	evo	1601	1601	0.4747924080664294	0.9	1	0	8	2	experiment	04F
P10_1_0	HAMBI_1896	evo	1771	1771	0.5252075919335706	0.1	1	0	8	2	experiment	04F
P10_1_16	HAMBI_0403	evo	3433	3433	0.495096625324488	0.9	1	16	8	2	experiment	04F
P10_1_16	HAMBI_1896	evo	3501	3501	0.5049033746755119	0.1	1	16	8	2	experiment	04F
P10_1_256	HAMBI_0403	evo	4235	4235	0.4571459412780656	0.9	1	256	8	2	experiment	04F
P10_1_256	HAMBI_1896	evo	5029	5029	0.5428540587219344	0.1	1	256	8	2	experiment	04F
P10_1_64	HAMBI_0403	evo	3239	3239	0.43290564020315425	0.9	1	64	8	2	experiment	04F
P10_1_64	HAMBI_1896	evo	4243	4243	0.5670943597968457	0.1	1	64	8	2	experiment	04F
P10_2_0	HAMBI_0403	evo	4658	4658	0.4712190187152251	0.9	2	0	8	2	experiment	03F
P10_2_0	HAMBI_1896	evo	5227	5227	0.5287809812847749	0.1	2	0	8	2	experiment	03F
P10_2_16	HAMBI_0403	evo	3311	3311	0.4823717948717949	0.9	2	16	8	2	experiment	03F
P10_2_16	HAMBI_1896	evo	3553	3553	0.5176282051282052	0.1	2	16	8	2	experiment	03F
P10_2_256	HAMBI_0403	evo	4013	4013	0.4811173720177437	0.9	2	256	8	2	experiment	03F
P10_2_256	HAMBI_1896	evo	4328	4328	0.5188826279822564	0.1	2	256	8	2	experiment	03F
P10_2_64	HAMBI_0403	evo	3748	3748	0.4479502808653042	0.9	2	64	8	2	experiment	03F
P10_2_64	HAMBI_1896	evo	4619	4619	0.5520497191346958	0.1	2	64	8	2	experiment	03F
P10_s_0	HAMBI_0403	evo	2850	2850	0.8853681267474371	0.9	1	NA	0	2	masterplate	03F
P10_s_0	HAMBI_1896	evo	369	369	0.11463187325256291	0.1	1	NA	0	2	masterplate	03F
P11_1_0	HAMBI_1287	anc	8460	8460	1	0.1	1	0	8	2	experiment	11E
P11_1_0	HAMBI_0403	evo	12	0	0	0.9	1	0	8	2	experiment	11E
P11_1_16	HAMBI_1287	anc	7806	7806	1	0.1	1	16	8	2	experiment	11E
P11_1_16	HAMBI_0403	evo	14	0	0	0.9	1	16	8	2	experiment	11E
P11_1_256	HAMBI_0403	evo	7438	7438	0.6478529744795749	0.9	1	256	8	2	experiment	11E
P11_1_256	HAMBI_1287	anc	4043	4043	0.35214702552042504	0.1	1	256	8	2	experiment	11E
P11_1_64	HAMBI_1287	anc	6435	6435	1	0.1	1	64	8	2	experiment	11E
P11_1_64	HAMBI_0403	evo	32	0	0	0.9	1	64	8	2	experiment	11E
P11_2_0	HAMBI_1287	anc	9396	9396	1	0.1	2	0	8	2	experiment	12E
P11_2_0	HAMBI_0403	evo	18	0	0	0.9	2	0	8	2	experiment	12E
P11_2_16	HAMBI_1287	anc	6021	6021	1	0.1	2	16	8	2	experiment	12E
P11_2_16	HAMBI_0403	evo	23	0	0	0.9	2	16	8	2	experiment	12E
P11_2_256	HAMBI_0403	evo	5960	5960	0.549612689044633	0.9	2	256	8	2	experiment	12E
P11_2_256	HAMBI_1287	anc	4884	4884	0.45038731095536705	0.1	2	256	8	2	experiment	12E
P11_s_0	HAMBI_0403	evo	8837	8837	0.87816754446984	0.9	1	NA	0	2	masterplate	01H
P11_s_0	HAMBI_1287	anc	1226	1226	0.12183245553015999	0.1	1	NA	0	2	masterplate	01H
P12_1_0	HAMBI_0403	evo	6847	6847	0.7532453245324533	0.9	1	0	8	2	experiment	12F
P12_1_0	HAMBI_1287	evo	2243	2243	0.24675467546754676	0.1	1	0	8	2	experiment	12F
P12_1_16	HAMBI_0403	evo	6896	6896	0.7630850946110435	0.9	1	16	8	2	experiment	12F
P12_1_16	HAMBI_1287	evo	2141	2141	0.23691490538895651	0.1	1	16	8	2	experiment	12F
P12_1_256	HAMBI_0403	evo	10380	10380	0.8073423038033756	0.9	1	256	8	2	experiment	12F
P12_1_256	HAMBI_1287	evo	2477	2477	0.1926576961966244	0.1	1	256	8	2	experiment	12F
P12_1_64	HAMBI_0403	evo	6857	6857	0.745731375747689	0.9	1	64	8	2	experiment	12F
P12_1_64	HAMBI_1287	evo	2338	2338	0.25426862425231106	0.1	1	64	8	2	experiment	12F
P12_2_16	HAMBI_0403	evo	6306	6306	0.799340854354164	0.9	2	16	8	2	experiment	11F
P12_2_16	HAMBI_1287	evo	1583	1583	0.20065914564583598	0.1	2	16	8	2	experiment	11F
P12_2_256	HAMBI_0403	evo	9271	9271	0.8285075960679178	0.9	2	256	8	2	experiment	11F
P12_2_256	HAMBI_1287	evo	1919	1919	0.1714924039320822	0.1	2	256	8	2	experiment	11F
P12_2_64	HAMBI_0403	evo	6228	6228	0.7425777989746035	0.9	2	64	8	2	experiment	11F
P12_2_64	HAMBI_1287	evo	2159	2159	0.2574222010253964	0.1	2	64	8	2	experiment	11F
P12_s_0	HAMBI_0403	evo	7682	7682	0.8895321908290875	0.9	1	NA	0	2	masterplate	02H
P12_s_0	HAMBI_1287	evo	954	954	0.11046780917091246	0.1	1	NA	0	2	masterplate	02H
P13_1_0	HAMBI_1287	anc	10700	10700	1	0.9	1	0	8	2	experiment	05A
P13_1_0	HAMBI_1977	anc	95	0	0	0.1	1	0	8	2	experiment	05A
P13_1_16	HAMBI_1287	anc	9182	9182	1	0.9	1	16	8	2	experiment	05A
P13_1_16	HAMBI_1977	anc	43	0	0	0.1	1	16	8	2	experiment	05A
P13_1_256	HAMBI_1287	anc	8270	8270	1	0.9	1	256	8	2	experiment	05A
P13_1_256	HAMBI_1977	anc	15	0	0	0.1	1	256	8	2	experiment	05A
P13_1_64	HAMBI_1287	anc	10533	10533	1	0.9	1	64	8	2	experiment	05A
P13_2_0	HAMBI_1287	anc	12776	12776	1	0.9	2	0	8	2	experiment	06A
P13_2_0	HAMBI_1977	anc	92	0	0	0.1	2	0	8	2	experiment	06A
P13_2_16	HAMBI_1287	anc	8504	8504	1	0.9	2	16	8	2	experiment	06A
P13_2_16	HAMBI_1977	anc	29	0	0	0.1	2	16	8	2	experiment	06A
P13_2_256	HAMBI_1287	anc	14532	14532	1	0.9	2	256	8	2	experiment	06A
P13_2_256	HAMBI_1977	anc	7	0	0	0.1	2	256	8	2	experiment	06A
P13_2_64	HAMBI_1287	anc	13234	13234	1	0.9	2	64	8	2	experiment	06A
P13_2_64	HAMBI_1977	anc	3	0	0	0.1	2	64	8	2	experiment	06A
P13_s_0	HAMBI_1287	anc	8255	8255	0.8957248263888888	0.9	1	NA	0	2	masterplate	01C
P13_s_0	HAMBI_1977	anc	961	961	0.1042751736111111	0.1	1	NA	0	2	masterplate	01C
P14_1_0	HAMBI_1287	anc	14798	14798	1	0.9	1	0	8	2	experiment	06B
P14_1_0	HAMBI_1977	evo	87	0	0	0.1	1	0	8	2	experiment	06B
P14_1_16	HAMBI_1287	anc	9219	9219	1	0.9	1	16	8	2	experiment	06B
P14_1_16	HAMBI_1977	evo	71	0	0	0.1	1	16	8	2	experiment	06B
P14_1_256	HAMBI_1287	anc	5517	5517	0.5500498504486541	0.9	1	256	8	2	experiment	06B
P14_1_256	HAMBI_1977	evo	4513	4513	0.44995014955134593	0.1	1	256	8	2	experiment	06B
P14_1_64	HAMBI_1287	anc	11200	11200	1	0.9	1	64	8	2	experiment	06B
P14_1_64	HAMBI_1977	evo	70	0	0	0.1	1	64	8	2	experiment	06B
P14_2_0	HAMBI_1287	anc	13885	13885	1	0.9	2	0	8	2	experiment	05B
P14_2_0	HAMBI_1977	evo	87	0	0	0.1	2	0	8	2	experiment	05B
P14_2_16	HAMBI_1287	anc	9537	9537	0.8126970600766936	0.9	2	16	8	2	experiment	05B
P14_2_16	HAMBI_1977	evo	2198	2198	0.18730293992330635	0.1	2	16	8	2	experiment	05B
P14_2_256	HAMBI_1287	anc	9049	9049	0.6644881774122485	0.9	2	256	8	2	experiment	05B
P14_2_256	HAMBI_1977	evo	4569	4569	0.33551182258775153	0.1	2	256	8	2	experiment	05B
P14_2_64	HAMBI_1287	anc	7266	7266	1	0.9	2	64	8	2	experiment	05B
P14_2_64	HAMBI_1977	evo	60	0	0	0.1	2	64	8	2	experiment	05B
P14_s_0	HAMBI_1287	anc	7724	7724	0.8992897892653394	0.9	1	NA	0	2	masterplate	02C
P14_s_0	HAMBI_1977	evo	865	865	0.10071021073466062	0.1	1	NA	0	2	masterplate	02C
P15_1_0	HAMBI_1287	anc	7002	7002	0.6866725507502206	0.9	1	0	8	2	experiment	05E
P15_1_0	HAMBI_1896	anc	3195	3195	0.31332744924977934	0.1	1	0	8	2	experiment	05E
P15_1_16	HAMBI_1287	anc	8071	8071	1	0.9	1	16	8	2	experiment	05E
P15_1_16	HAMBI_1896	anc	63	0	0	0.1	1	16	8	2	experiment	05E
P15_1_256	HAMBI_1287	anc	12073	12073	1	0.9	1	256	8	2	experiment	05E
P15_1_256	HAMBI_1896	anc	66	0	0	0.1	1	256	8	2	experiment	05E
P15_1_64	HAMBI_1287	anc	8953	8953	1	0.9	1	64	8	2	experiment	05E
P15_1_64	HAMBI_1896	anc	47	0	0	0.1	1	64	8	2	experiment	05E
P15_2_0	HAMBI_1287	anc	7435	7435	0.6363947616194471	0.9	2	0	8	2	experiment	06E
P15_2_0	HAMBI_1896	anc	4248	4248	0.3636052383805529	0.1	2	0	8	2	experiment	06E
P15_2_16	HAMBI_1287	anc	7916	7916	0.8204809286898839	0.9	2	16	8	2	experiment	06E
P15_2_16	HAMBI_1896	anc	1732	1732	0.17951907131011607	0.1	2	16	8	2	experiment	06E
P15_2_256	HAMBI_1287	anc	13373	13373	1	0.9	2	256	8	2	experiment	06E
P15_2_256	HAMBI_1896	anc	56	0	0	0.1	2	256	8	2	experiment	06E
P15_2_64	HAMBI_1287	anc	9990	9990	1	0.9	2	64	8	2	experiment	06E
P15_2_64	HAMBI_1896	anc	31	0	0	0.1	2	64	8	2	experiment	06E
P15_s_0	HAMBI_1287	anc	6507	6507	0.8861500749012665	0.9	1	NA	0	2	masterplate	03C
P15_s_0	HAMBI_1896	anc	836	836	0.11384992509873348	0.1	1	NA	0	2	masterplate	03C
P16_1_0	HAMBI_1287	anc	8032	8032	0.8740885841767331	0.9	1	0	8	2	experiment	06F
P16_1_0	HAMBI_1896	evo	1157	1157	0.12591141582326695	0.1	1	0	8	2	experiment	06F
P16_1_16	HAMBI_1287	anc	7494	7494	1	0.9	1	16	8	2	experiment	06F
P16_1_16	HAMBI_1896	evo	96	0	0	0.1	1	16	8	2	experiment	06F
P16_1_256	HAMBI_1287	anc	5757	5757	0.7007912355447352	0.9	1	256	8	2	experiment	06F
P16_1_256	HAMBI_1896	evo	2458	2458	0.2992087644552648	0.1	1	256	8	2	experiment	06F
P16_1_64	HAMBI_1287	anc	8306	8306	1	0.9	1	64	8	2	experiment	06F
P16_1_64	HAMBI_1896	evo	23	0	0	0.1	1	64	8	2	experiment	06F
P16_2_0	HAMBI_1287	anc	10418	10418	0.9583295005059332	0.9	2	0	8	2	experiment	05F
P16_2_0	HAMBI_1896	evo	453	453	0.04167049949406678	0.1	2	0	8	2	experiment	05F
P16_2_16	HAMBI_1287	anc	5087	5087	0.9193927345020785	0.9	2	16	8	2	experiment	05F
P16_2_16	HAMBI_1896	evo	446	446	0.08060726549792156	0.1	2	16	8	2	experiment	05F
P16_2_256	HAMBI_1287	anc	8699	8699	0.7199371017131507	0.9	2	256	8	2	experiment	05F
P16_2_256	HAMBI_1896	evo	3384	3384	0.28006289828684927	0.1	2	256	8	2	experiment	05F
P16_2_64	HAMBI_1287	anc	5976	5976	1	0.9	2	64	8	2	experiment	05F
P16_2_64	HAMBI_1896	evo	17	0	0	0.1	2	64	8	2	experiment	05F
P16_s_0	HAMBI_1287	anc	5764	5764	0.8999219359875098	0.9	1	NA	0	2	masterplate	03G
P16_s_0	HAMBI_1896	evo	641	641	0.10007806401249024	0.1	1	NA	0	2	masterplate	03G
P17_1_0	HAMBI_1977	anc	12171	12171	0.9382516188714154	0.1	1	0	8	2	experiment	07A
P17_1_0	HAMBI_1287	evo	801	801	0.06174838112858464	0.9	1	0	8	2	experiment	07A
P17_1_16	HAMBI_1287	evo	7995	7995	1	0.9	1	16	8	2	experiment	07A
P17_1_16	HAMBI_1977	anc	136	0	0	0.1	1	16	8	2	experiment	07A
P17_1_256	HAMBI_1287	evo	6812	6812	1	0.9	1	256	8	2	experiment	07A
P17_1_256	HAMBI_1977	anc	29	0	0	0.1	1	256	8	2	experiment	07A
P17_1_64	HAMBI_1287	evo	11212	11212	1	0.9	1	64	8	2	experiment	07A
P17_1_64	HAMBI_1977	anc	47	0	0	0.1	1	64	8	2	experiment	07A
P17_2_0	HAMBI_1977	anc	11896	11896	0.933385641428011	0.1	2	0	8	2	experiment	08A
P17_2_0	HAMBI_1287	evo	849	849	0.06661435857198901	0.9	2	0	8	2	experiment	08A
P17_2_16	HAMBI_1287	evo	6967	6967	1	0.9	2	16	8	2	experiment	08A
P17_2_16	HAMBI_1977	anc	151	0	0	0.1	2	16	8	2	experiment	08A
P17_2_256	HAMBI_1287	evo	3394	3394	1	0.9	2	256	8	2	experiment	08A
P17_2_256	HAMBI_1977	anc	41	0	0	0.1	2	256	8	2	experiment	08A
P17_2_64	HAMBI_1287	evo	8507	8507	1	0.9	2	64	8	2	experiment	08A
P17_2_64	HAMBI_1977	anc	29	0	0	0.1	2	64	8	2	experiment	08A
P17_s_0	HAMBI_1287	evo	6699	6699	0.8629395852119026	0.9	1	NA	0	2	masterplate	01D
P17_s_0	HAMBI_1977	anc	1064	1064	0.13706041478809738	0.1	1	NA	0	2	masterplate	01D
